,ETF_1,ETF_2,ETF_3,ETF_4,ETF_5,ETF_6,ETF_7,ETF_8,ETF_9,ETF_10,ETF_11,ETF_12,ETF_13,ETF_14,ETF_15,ETF_16,ETF_17,ETF_18,ETF_19,ETF_20,ETF_21,ETF_22,ETF_23,ETF_24,ETF_25,ETF_26,ETF_27,ETF_28,ETF_29,ETF_30,ETF_31,ETF_32,ETF_33,ETF_34,ETF_35,ETF_36,ETF_37,ETF_38,ETF_39,ETF_40,ETF_41,ETF_42,ETF_43,ETF_44,ETF_45,ETF_46,ETF_47,ETF_48,ETF_49,ETF_50,ETF_51,ETF_52,ETF_53,ETF_54,ETF_55,ETF_56,ETF_57,ETF_58,ETF_59,ETF_60,ETF_61,ETF_62,ETF_63,ETF_64,ETF_65,ETF_66,ETF_67,ETF_68,ETF_69,ETF_70,ETF_71,ETF_72,ETF_73,ETF_74,ETF_75,ETF_76,ETF_77,ETF_78,ETF_79,ETF_80,ETF_81,ETF_82,ETF_83,ETF_84,ETF_85,ETF_86,ETF_87,ETF_88,ETF_89,ETF_90,ETF_91,ETF_92,ETF_93,ETF_94,ETF_95,ETF_96,ETF_97,ETF_98,ETF_99,ETF_100,ETF_101
2021-01-04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.0,100.0,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.00000000000001
2021-01-05,100.66444717668274,100.08392150111895,99.25239516255694,102.03206912450266,100.04102909610742,100.26948152747595,99.77946631525816,101.72101800290778,99.63339290991739,100.02517420031103,100.0,99.85268843604224,101.43031687062334,100.62378580720394,100.7311009730192,100.23900253025637,101.23118594930916,100.49545816689948,100.0434167349222,99.97933158835546,99.40016254425545,100.51557345630833,99.9818148754319,101.04982548712452,100.84175890069966,100.44093126255065,99.96722577401049,99.7597886139803,99.90784241697763,99.87583697168631,99.97395268070328,99.98657535910912,99.99350047800283,99.96580028829155,99.89846856756071,100.70963346994294,99.95503384941058,99.90786061491436,99.9293662082915,100.3067352815908,105.0966839463507,100.04076083809841,99.9015263417036,99.81074336647869,99.97521396398056,99.99739422812544,99.99960457819368,100.41536566501476,99.95489346082066,99.41729552093477,100.9152763918795,100.03031533217695,101.24828120844485,99.96815135851672,99.94110757337761,100.1258596976673,99.51437291198904,102.06157048199913,100.3512658641467,100.72707842710415,100.99827535681858,100.37076212213995,100.3089979554848,100.33786156527862,99.44953979908203,100.61933908567468,99.58190964128778,100.6298887149421,99.83673282951308,100.66501671988063,99.41139989204213,100.1696510919135,99.81342249394636,101.05807958301838,99.86849811587638,99.89327451573311,99.90595316467602,99.8119436666806,100.71669101664114,100.47428856714927,100.61433218308983,99.87503354362777,100.53494293816198,100.0050757026116,100.17802233371096,102.25330730860983,100.13926949509212,98.68074505625944,101.63658644581508,100.75181845803544,99.56487144103659,99.99047635053752,100.84015187286145,101.00298057072906,100.73976040984404,99.5361301890823,99.81397997522726,99.60393271515773,100.85462286257213,100.20237993696408,100.03182139288602
2021-01-06,98.54978804415025,99.51906524358753,98.36448353489347,107.51993647649459,99.69854411491602,99.83441995239573,101.53255666631662,101.56155044952298,99.62494898461797,100.12148914416312,100.0,105.40142401178494,104.69417530621082,101.07326681251271,101.61902555511993,99.84269731427003,100.66119814139752,100.20598072183772,100.81145472279212,99.89593973442287,98.51741220731651,98.95634109672564,99.95453718857974,101.58435705059499,100.44846777708632,101.70770777984885,99.9075138280296,99.15125310273041,99.7367386526948,99.496123856007,99.86976340351639,99.93088934870991,99.98790595273944,99.89465113931011,99.66156189186903,101.2801838366782,99.85921265947286,99.73110773344851,99.75567827285023,100.98858632156018,108.35349296470008,100.13586946032804,99.70809594147852,99.84592373262922,99.91310133800333,100.00035941681028,100.00286680809587,101.96510928413876,99.61798835915313,100.68349866114899,101.32783642315704,100.11221066431877,100.47899820623235,99.93458116884514,99.45310136941382,100.22473488020059,100.67322462558239,102.75183433667488,101.13973519455227,102.8410282796699,101.83249343050264,99.40266102544119,103.17178336957456,102.05385801704307,101.20372693936034,99.98746143566561,100.66708294711042,101.77416295574926,99.42318950856637,102.08573425780735,99.45705229065935,99.76326715579116,101.36052858218672,100.72018457303385,100.96361044500681,100.89649406784183,102.71526648842553,99.94567261481885,101.29292425376237,101.08765423293632,104.10815693960743,101.8074095900574,101.10993898191144,101.02021622493126,100.87716458973945,101.46215571459554,99.68859258565536,98.30885061249708,101.02666683297059,101.27218848267202,100.47664259109061,99.97254948096112,100.0573080729352,102.12805018396656,101.23113340863732,101.30978813202748,99.94480477777746,100.96454032896882,99.44434537658016,102.49774297851017,100.15899125027411
2021-01-07,99.73590091151513,98.68415389912205,99.71729228836188,114.95491880261608,101.23303230933348,101.01955914312326,103.71248640719801,104.57653661653137,99.22245521201289,100.23851051216181,100.0,107.29192241590965,105.90578001362469,102.27962017966992,102.88653455465659,101.1029479011066,103.24794776749657,99.93701771694944,101.6429143268006,99.92442862614912,98.58385365480221,98.26718859541981,99.93635206401163,102.71113309698518,100.37086773475902,101.74046641748262,99.89808562603262,98.83097125470414,99.71128253710472,99.38257112284012,99.80898632515738,99.96508843388438,99.96914783862098,99.88824943448027,99.52618664861663,102.79437760540338,99.85258278471119,99.69300938719807,99.70730948070204,102.07681276643964,111.3782605118078,100.20388138904906,99.64830836322712,100.12851135921369,99.90572454156897,99.99371020582005,99.99565036013041,102.85313243003237,99.3941534133444,101.10873600292113,103.98350926947114,100.17661976137879,100.40458797100547,99.94706239321023,99.12942859269715,100.36851621499923,101.01659409997428,104.08889123075099,102.36410095544315,104.17961251508974,104.21408634745555,100.5500194844959,104.53982163287375,101.04165148259686,101.75904414205112,101.77486677775394,101.30701716962912,103.4376353552997,99.52448645484083,103.43088171392947,99.59630646254206,100.89663601926287,101.53777721293766,101.27170369033247,101.56476191528627,101.80543944218145,102.37199553949296,101.66743282209872,102.81227357493259,102.48199129876613,104.34645206804419,102.85633856175448,102.42048313807025,100.39680051593024,101.59572746399094,101.22880069399262,100.8853119695866,100.63071555025724,101.62957049934832,102.87942351128048,101.06129854354936,99.97030862226406,101.20676830333177,103.19163855044008,102.86441327035064,101.62814031317362,101.67772816644973,101.44448068589534,101.93667613074356,102.92281707597974,100.254744714322
2021-01-08,101.81393146022066,101.32337751764503,99.26495994974086,116.15196120284831,103.33242637436676,103.12076994722136,104.02516319831433,105.52558313461589,95.80618376796093,100.47345539526931,100.0,106.1134299042475,105.86413368746501,103.2272111476679,103.62565491677657,103.69539371398957,104.44350947881125,101.7000419881887,102.54150648724291,99.98435903983656,98.50345724343134,98.68246752344012,99.93635206401163,103.86951383735949,100.68580297147695,102.74026003806553,99.93130881402199,98.5427175914805,99.79409547010036,99.67559586966043,99.8003038853918,100.01882449644471,99.96725557272308,99.93486587569093,99.41619426347407,103.36602729847148,99.91408462294147,99.85189707491448,99.82264776212327,102.79578463666522,111.29597630214762,100.24363864590643,99.71161285784625,100.25992261845711,99.89871658495633,99.99712466551773,99.99594692648517,103.2541751410811,99.3864867313682,101.78843111002922,106.16214134411707,100.23303264038636,102.40885453506334,99.88680820662022,99.14017057131308,100.10642758086884,101.82863021677791,103.90710418505394,103.46691238939209,104.67633729789634,104.99954361809962,102.29917051717419,105.60860877818752,101.92128949260604,102.35159835833342,103.56326200650025,101.9981461299493,104.3970478743733,98.92564520055235,103.92208724565947,101.20935788035051,102.6357192778659,102.19674733214445,103.49498516420908,101.84102637773088,102.06158060442198,103.74440757211377,103.3515817627147,103.38613120478922,103.15241423578917,104.59448330018802,102.7111143850861,103.14233218264519,101.18652012814657,102.03592814371258,103.80221210149642,102.70804940632293,102.37691640494117,104.27302321810552,103.46056133337726,101.73820790073533,99.97479033965816,102.60809945473245,103.59769622441091,103.45408016112866,102.26303217829793,103.3753517628788,102.15274218349563,103.24239832154271,103.9677634287113,100.32625606269856
2021-01-11,101.22484117892714,100.61865209158202,98.11737605360976,111.79667355407182,103.34279161969916,102.62609955500362,102.63590261286684,106.07581268982977,93.20826941750988,100.23846755277562,100.0,105.45052786643753,105.37651312686684,102.43242779763493,102.82728017963431,103.52223881962016,104.54270455529588,102.47040349247276,102.40211825031571,99.8739147088866,98.2844434073954,98.05210151792294,99.91816693944354,103.44353752713882,100.05517665347297,101.68805259726858,99.84780188204871,98.3585555288654,99.57981297810774,99.14508111232013,99.73952680703277,99.91900216669204,99.97391963958094,99.82573614234985,99.3400456891446,102.69857131549786,99.77672921758509,99.53838871426171,99.59144772750432,102.06899785480675,112.0793219781124,100.24394744013445,99.45839487936978,100.21131113637925,99.87599605193853,100.01347813038564,99.99812174641995,102.50365235326134,98.89186958205502,101.28369948880234,106.27097082902975,100.13619931847619,101.50942435336657,99.84376950191307,98.61240020089383,100.0208201251412,101.15242175350953,102.42250997852805,102.5062410958188,103.7632344501395,104.85470241498085,101.22000779379836,104.77571830711356,102.62873683822744,101.52914605813832,103.1049444838566,101.20579121079433,103.6745867505386,98.88180648913195,104.44729931420152,100.66353895097104,102.14368005004006,101.8714535063727,103.14924918487765,101.03212403169306,101.30738718226932,101.56587980814446,103.35993982197334,102.708192281652,102.55687896726337,103.45647642426428,101.66692098436735,102.27107650017372,99.82742611120565,100.89982197766629,103.12253307308609,102.21565339725716,98.79738287701345,103.95512288820011,102.76420264230097,101.19429720203111,99.93613552713401,101.00819518379333,102.02140828448881,102.79988077404269,101.57764932063722,103.3753517628788,101.38856530450585,101.64543982881072,102.50522174437785,100.28008611447487
2021-01-12,101.37532166662389,101.25667068342227,99.81885765143187,113.04793292464268,103.69002733833457,103.0913794887716,102.56611776024499,106.71632598111619,93.49888117989782,99.99450119856688,100.0,106.40805303216304,106.79938330340866,102.61451078288947,103.21087429162063,103.50211870865469,104.84397505074918,102.87196013016094,102.00061477488714,99.6717792390194,98.28478239437237,97.10178603701563,99.92725950172758,104.02753730728007,100.0725610785398,101.72801813518178,99.68886933409956,98.32652734406277,99.16574831312957,98.18744553758076,99.61797265031474,99.726107326629,99.95968650913142,99.60571513272797,99.32312378373805,102.73662632871908,99.49242458809954,98.88776274084897,99.15441859036729,102.0736868017865,116.22480046079158,100.19369117952448,99.09615249349372,100.27663520020758,99.89569209841827,100.01599404805762,99.99772632461364,102.75860093385661,98.88062868936731,100.98816333982474,107.4281229393881,99.99815471891097,101.22649570231378,99.83774408325407,98.55105784932397,100.20750724724063,100.88329400311062,105.3008048687313,102.82548458351305,104.51208169242642,105.06151547615042,102.17224294382899,105.44326064203813,103.38627504973971,101.44495802740968,103.82855163083826,101.02001636680254,104.15698242256616,98.9931022266389,103.3269728514481,100.36952601899598,102.39649719641679,101.69177125597757,103.43270868824531,101.25755583304786,101.73606787740799,102.12545847832222,103.58142839232731,102.75110168786897,102.63176663576064,102.7813334950697,101.79293978984589,102.43409414945394,100.31797784007954,101.11668554782327,103.69290826284971,102.52781980848063,100.39189515665905,104.22578251189593,102.90276054193161,101.1996786506402,99.85602482871437,101.44486200138418,102.59704485640059,102.91746689212847,101.36985946673745,103.59662666921759,101.34662876846372,101.56352308853972,102.14966102442199,100.23599902105826
2021-01-13,101.48894026741198,101.58805302117403,98.8503219726716,113.59266405969844,103.96729765097628,103.78474593811444,102.19822285758809,107.96957789573406,93.21952798457576,100.5328252669926,100.0,105.5487355757427,106.4722803707902,102.90077242872856,103.21087429162063,104.32948205956772,104.8909621922419,102.7865939855302,102.14156717948146,99.86370020429007,99.04690986534024,98.16927730344754,99.92725950172758,105.02926869486355,99.83900510698979,102.47753576424263,99.83298613605345,98.66282328449036,99.65134788520903,99.36563980079735,99.78293900586065,99.89009044008071,99.9633887684969,99.81147194098403,99.45003807428716,102.96865747336697,99.7748182536832,99.60319107059166,99.66843297676762,102.55782057744382,115.8923722537645,100.11047113507354,99.62720686502074,100.53846564763163,99.94622315399357,100.02731567758157,100.00168054267688,102.84740324844597,99.23254547602319,101.02011319376827,107.2393490071133,100.10140258936873,101.4870729899334,99.88982091594971,98.97838129689603,100.36594431718767,101.09808228691887,104.6382042601399,102.78496647453241,104.39413429379984,105.42686119745001,102.19395423926962,105.6000222784857,103.27180814509283,101.55181206641142,103.21812152508538,101.22712235154495,103.93503511806522,99.29014152606621,103.58768963367403,100.4453262280208,103.00450934900063,101.76613185621633,104.23056962667961,101.62222492347475,102.15585478219106,103.69805591756125,103.92828785156087,102.98628680706506,102.78867413165965,102.65061433218308,102.00077873833865,102.63983175682935,101.93085698760036,101.36915358472245,104.00997614400346,103.13115800539735,101.30717530525841,105.11743135286157,103.1012625791171,101.30154178502649,99.90756457874657,101.52804279347748,102.65952895433516,103.12254325558244,101.49259141782592,103.94122629502182,101.519034527748,102.20590079158319,102.59682117426101,100.38243528541186
2021-01-14,100.70550851906202,103.50964021346186,100.50259148735668,112.6884786803504,104.38061180860575,104.44582427817448,102.29138224822405,109.26663896371012,93.02109574003968,100.33267748670409,100.0,105.45052786643753,107.3981526682608,102.91761495175076,103.94108422140643,104.8526049446697,105.28927802568016,103.16641859936553,102.31163083413958,99.99936159346271,98.78173730260716,99.23637136382683,99.92725950172758,105.05125456893946,100.45476648182067,102.57024270874622,99.83298613605345,98.44663303707263,99.66713712146112,99.35570675853225,99.85239852398524,100.0109497070953,99.93854249453301,99.79188014633696,99.41619426347407,102.58737445693278,99.76865637008116,99.51393543725295,99.66564112729299,102.44645808667518,118.45634822677529,100.07225784935629,99.7678835197299,100.67331099901558,99.92512551619132,100.01168104633423,99.98922475577761,103.44323813343264,99.18286394713313,101.56744462025317,107.25335387380447,100.29023635414634,102.17119446817901,99.92683420199786,98.86191563400757,100.37419071969458,101.7221606442976,102.6154940524021,102.56865205400672,105.31396568443134,106.80441393357961,102.36875800256082,105.4883977823624,104.73422290117284,101.90880169671264,103.98165410060548,101.67623982407626,103.27230726113063,99.2510376182935,103.24195650941793,101.10570683694915,103.59369265579275,102.68847370135971,104.7736836761172,102.31067596388671,103.07903022109961,103.17072187663742,104.51335199966569,102.60797135017638,102.71022038371014,103.53308838786083,102.98209427995643,102.5795634060537,102.645933914352,101.88379996763231,106.28800693992625,103.81268574518957,103.73696488191659,105.43813806135368,102.7609995204469,101.82507985685346,99.86274740480553,102.03780004269,103.27573247359872,102.7363128890398,102.19040282749559,104.51738537223316,102.11080564745352,101.61548727922184,102.95069247603188,100.51839941865208
2021-01-15,99.027359452391,101.89468927526252,98.57075545782943,106.9231228974915,103.59155750767677,103.77646693573425,101.30457023032389,107.30699239070209,90.66242593973851,100.46490647741625,100.0,103.5354775349865,106.28721623268989,102.03234131893493,102.90257333285811,102.9661921165747,103.65731939893311,101.70389152042748,102.58202919534781,99.92307201225739,98.9893385770852,98.2086007026575,99.94544462629568,104.41916068925715,100.30359756819607,102.74157038357089,99.85543423604628,98.68684442309232,99.67197056113014,99.24486303689221,99.83937486433688,99.9347517453908,99.94051703286127,99.82453313741539,99.52618664861663,101.84358858225012,99.79451288165167,99.54061600219634,99.62973096342536,101.60401061265,114.33390932280096,100.04987026782494,99.62017303228531,100.63668068285016,99.96909122294008,100.01617375646278,99.9913995757124,102.2630267266321,99.03573156319356,100.72990202044791,105.00148801708593,100.31510371358426,101.0904070211574,100.0167850948358,98.7286774080171,100.12932971852415,100.81151979881369,102.10240670240934,101.80534316224235,104.4626071124656,105.82319284777499,101.26370873462116,104.38131948972985,104.99811430417559,100.44441566221172,103.39531123686338,100.54917991459787,102.71800519198159,99.41887248171112,103.57257561731312,99.94171423321197,102.6581862396242,101.98569842855771,103.76879858298453,101.15699556871803,102.14162471762215,99.8199674866655,103.64829286639643,101.87123614724014,101.97204193709435,102.52468341702127,102.44644858485354,101.70830772358224,103.6673444222507,101.50833468198738,105.23140316634135,102.89747701718856,100.17149126107466,104.85363176571104,102.00735070706627,100.91830576622219,99.8890774944959,101.68010970032923,102.20585202478075,101.99790293502281,101.01681091123295,103.6458487713786,100.88532687200036,100.86897222353797,102.60304317782034,100.54512938867634
